RaceDate,SourceFile,Track,Race,Horse,PP,FormString,LayoffFlag
2025-11-22,HarnessSuite_2_6_FULL.csv,FLMD,2,Chargen Patricia,1,4X9-342-4-347-4,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,FLMD,2,Prose,2,9-10,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,FLMD,2,Fastlane Jane,7,547-5556X16-3,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,FLMD,3,Fashion Forward,4,39X3132-24-3?,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,FLMD,3,Del Diggity,6,?111411-12X?,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,FLMD,3,Sports Duchess,7,3-15242??X95,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,FLMD,5,Swift Talker,4,124-33?97X14,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,FLMD,5,Lyons Benz,5,16274643X66,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,FLMD,5,Southwind Stratus,7,1233-45-33X44,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,FLMD,5,Prescelto,8,222X267-11-42,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,FLMD,6,Our Aurora,3,5-2555546-32,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,FLMD,6,Wiggle It Betty,4,746-6,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,FLMD,6,Mclatte,5,5646-3-9612-2,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,FLMD,7,Ontop Rainstorm,2,9-3345-5-36-4-2,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,FLMD,7,Vin Bruiser,3,115-1,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,FLMD,7,Gurl Swag,4,253X4751-7-34,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,FLMD,7,Tj All The Way,5,41-511735-88,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,FLMD,7,Isnt Easy,6,311-58727X45,3UP
